lit_id,doc_kind,pub_no,s_S1,s_S2,s_S3,s_S4,s_S5,s_chain_notes,a_S1,a_S2,a_S3,a_S4,a_S5,candidates,b_relation,b_disclosed,b_gap,c_relation,c_disclosed,c_gap,d_relation,d_disclosed,d_gap,f_relation,f_disclosed,f_gap,crowded,gap_hook,deep_review,notable
12,期刊论文,,无,无,无,弱覆盖,无,S4弱形态覆盖：量测越限→储能优先承接→按功率差额逐降充电功率的约束执行式级联；触发源是配变越限非执行偏差，无偏差归因/方向化边界/执行确认,无,无,无,弱覆盖,无,A;B,,,,,,,,,,,,,越限级联调整+需量管理+相似日预测,级联触发是量测越限而非计划-执行偏差；降桩序列不含设备能力状态,无需,
13,期刊论文,,无,无,无,无,无,偏差命中为电能质量监测；功率分配为常规策略,无,无,无,无,无,,,,,,,,,,,,,,群充功率池/分体式充电,无,无需,刊名为推断，正式引用前确认
14,其他,,无,无,无,无,无,多设备协同集群仅为提法无机制,无,无,无,无,无,,,,,,,,,,,,,,VPP/共享储能商业模式,自认'VPP精准感知调度'缺协议——设备能力感知是公认空白（问题旁证）,无需,评述性文章技术浅
15,其他,,无,无,无,无,无,功率池按静态额定能力+需求动态分配属同类枪间分配，无偏差确认边界,无,无,无,无,无,B,,,,,,,,,,,,,商用群充功率池、云边端协同EMS,商用功率池以'最大输出能力'（静态额定）为基——实际可用能力（执行确认）无产品化机制,无需,企业软文，事实需存疑
16,专利,CN117424897A,无,无,无,无,无,无覆盖，A-B-C-D-F链均不涉及,无,无,无,无,无,C,,,,,,,,,,,,,,无,无需,区块链+节点信誉评估的储能远程监控数据可信接入
17,专利,,无,无,无,无,无,纯优化调度，无执行偏差证据、无能力边界修正、无跨设备转移的反馈闭环,无,无,无,无,无,B,partial-gap,多目标优化+优先级自适应权重，涉及充电桩/储能/光伏的功率分配,无执行反馈修正能力边界、无动态能力状态、优先级非执行偏差驱动,,,,,,,,,,多目标优化+优先级自适应+粒子群调度,优先级评估与执行偏差之间的连接缺口,无需,双指数加权数据预处理+三维耦合优先级，工程实现完整但与核心机制距离远
18,专利,,无,无,无,无,无,传统AGC功率分解+渐进调节，无执行偏差回写修正能力边界,无,无,无,无,无,B,not-applicable,功率分解+分阶段调节+通信状态切换,完全不涉及执行偏差→能力状态→跨设备转移闭环,,,,,,,,,,AGC+光伏预测+功率分解,无,无需,含网络安全监测模块，但与核心机制无关
19,专利,CN118739352A,无,无,无,无,无,无覆盖，A-B-C-D-F链均不涉及,无,无,无,无,无,B,,,,,,,,,,,,,,无,无需,监控数据异常检测+知识库修复+功率调整任务
20,专利,CN120729963A,无,无,无,无,无,无覆盖，A-B-C-D-F链均不涉及,无,无,无,无,无,C,,,,,,,,,,,,,,无,无需,异构协议转换+边缘通信适配
21,专利,CN120281015A,无,无,无,无,无,无覆盖，A-B-C-D-F链均不涉及,无,无,无,无,无,B,,,,,,,,,,,,,,无,无需,三检测模块+优化调度模块架构型系统
22,专利,CN121503980A,无,无,无,无,无,无覆盖，A-B-C-D-F链均不涉及,无,无,无,无,无,C,,,,,,,,,,,,,,无,无需,蒙特卡洛+混合整数规划的容量配置
23,专利,,无,无,无,无,无,远程监控+故障诊断，故障诊断!=执行偏差归因；A链全为无,无,无,无,无,无,C,,,,partial-gap,远程故障诊断+状态监测,无通信/告警状态→控制参与资格→权限等级判定,,,,,,,远程监控+故障诊断,无,无需,基础监控系统，不涉及核心机制
24,专利,CN107968429A,无,无,无,无,无,无覆盖，A-B-C-D-F链均不涉及,无,无,无,无,无,C,,,,,,,,,,,,,,无,无需,EMS平台装置架构(规约库+组态+VxWorks)
25,专利,CN114243912A,无,无,无,无,无,S5浅层：执行结果返回评估，但对象是台区电压灵敏度补偿，非能力边界维持/恢复；A链全为无,无,无,无,无,无,B,,,,,,,,,,,,,,无,无需,台区电压灵敏度补偿+任务下发+结果返回评估
26,专利,CN118920523A,无,无,无,无,无,无覆盖，A-B-C-D-F链均不涉及,无,无,无,无,无,B,,,,,,,,,,,,,,无,无需,能量平衡调整充放策略+故障切备用
27,专利,,无,无,无,无,无,三级架构（云-边-端），终端自治处理紧急故障，但故障处理!=站级功率差额→资源能力不足→另一资源承接；A链全为无,无,无,无,无,无,C,,,,partial-gap,终端自治+边缘协议转换+云端协同，解决不可观不可测问题,无控制参与资格判定、无权限等级、无门控资源池,,,,,,,云-边-端三级协同架构,协议转换与执行确认之间的连接缺口,无需,四可（可观、可测、可调、可控）定位明确，但四可≠能力可信状态机
28,专利,,无,无,无,无,无,就地调配为静态计算，非站级功率差额→某资源能力不足→另一资源承接的 S4 形态；A 链全为无,无,无,无,无,无,B,partial-gap,边缘代理计算本地可用功率并调配,未形成方向×时间尺度×持续时长的灵活性包络,,,,,,,,,,边缘计算+就地功率调配,无,无需,边缘代理降低传输负担
29,专利,CN122437265A,无,无,无,无,无,温度/效率状态因子动态调整充放电速率+策略执行反馈模块；但状态因子降额!=方向化能力状态机，执行反馈!=边界回写；A链全为无,无,无,无,无,无,,,,,,,,,,,,,,,无,无需,CN122437265A，状态因子调速，需核实是否构成边界降额
30,专利,,无,无,无,无,无,SOC 分区为静态区间划分，非方向化能力状态机；A 链全为无,无,无,无,无,无,B,partial-gap,SOC 四区划分+峰谷套利+光伏余量存储,静态 SOC 分区≠方向×时间尺度的灵活性包络,,,,,,,,,,SOC 分区+储能精细化管理,无,无需,SOC 分区设计合理，与核心机制距离远
31,专利,CN122203352A,无,无,无,无,无,无覆盖，A-B-C-D-F链均不涉及,无,无,无,无,无,,,,,,,,,,,,,,,无,无需,已知第一最近现有技术，扉页与10号复核结论一致(非knockout)
32,专利,,无,无,无,无,无,策略学习模块的运行效果验证为通用 RL 迭代，非执行偏差驱动的能力修正；A 链全为无,无,无,无,无,无,,,,,,,,,,,,,,策略学习+多目标优化,无,无需,含策略学习模块
33,专利,CN122457389A,无,无,无,无,无,无覆盖，A-B-C-D-F链均不涉及,无,无,无,无,无,C,,,,,,,,,,,,,,无,无需,鸿蒙边缘核心+零信任安全防护
34,专利,,覆盖,无,无,覆盖,无,S1=未执行电量/储能偏差量（偏差证据覆盖）；S2=无成因分类；S3=无（下一时段储能电量修正是计划顺延，非方向化能力状态机，仅标为标量能力邻域）；S4=光伏消纳+储能转移（缺口承接覆盖）；S5=无（执行结果回写下一时段压力序列是计划反馈邻域，非能力状态边界维持/恢复）,覆盖,无,无,覆盖,无,A,,,,,,,,,,,,,时段压力+电量转移+光伏消纳+储能承接+执行回写,执行偏差→能力归因→方向化状态更新→执行反馈回写的完整链条缺口,无需,执行偏差/滚动协同侧双锚，与 CN122203352A 双锚互补
35,专利,CN121332532A,无,无,无,无,无,无覆盖，A-B-C-D-F链均不涉及,无,无,无,无,无,B,,,,,,,,,,,,,,无,无需,动态电价+多目标IPSO日前调度
36,专利,CN119204281A,无,无,无,无,无,无覆盖，A-B-C-D-F链均不涉及,无,无,无,无,无,C,,,,,,,,,,,,,,无,无需,分层分业务数据流架构设计
37,专利,,无,无,无,无,无,纯配置优化，无运行期闭环,无,无,无,无,无,,,,,,,,,,,,,,充电行为预测+储能配置,无,无需,车辆分类（常用/非常用）+充电预测，但为规划层非控制层
38,专利,,无,无,无,无,无,本地智能体+双路传输+高速保护，但高速保护!=站级功率差额→另一资源承接；A链全为无,无,无,无,无,无,C,,,,partial-gap,本地智能体集群+双路传输+高速比较器保护,无通信/数据状态→控制参与资格→权限等级判定,,,,,,,本地智能体+硬件级双路传输,无,无需,极简控制器+PGA/ADC/高速比较器双路设计，硬件级创新但与核心机制无关
39,专利,CN119628020A,无,无,无,无,无,无覆盖，A-B-C-D-F链均不涉及,无,无,无,无,无,B,,,,,,,,,,,,,,无,无需,储存时间/温度纳入充放电管理策略
40,专利,,无,无,无,无,无,端级反射+S3 级数字孪生物理约束嵌入+联邦学习跨台区+三时间尺度调控，但全在AI架构层、非执行偏差驱动的能力修正；A 链全为无,无,无,无,无,无,C;D;F,,,,partial-gap,端边台三级自治，通信状态影响控制参与,未形成通信/数据状态→控制参与资格→权限等级→门控资源池的 C 链,partial-gap,数字孪生体+物理-数据混合驱动,仿真约束≠真实系统偏差驱动降级,partial-gap,联邦学习+迁移学习+安全多方计算,AI 协同意图未形成确定性工具调用+物理校验+执行授权门,联邦学习+数字孪生+强化学习+迁移学习+安全多方计算,AI 决策中物理约束嵌入与执行偏差修正的连接缺口,无需,技术密度高但全在AI架构层
41,专利,,无,无,无,无,无,数字孪生模拟层非执行偏差驱动，仿真回环≠执行反馈回写边界；A 链全为无,无,无,无,无,无,D,,,,,,,partial-gap,数字孪生模拟+迭代优化+预仿真识别风险，控制参数回写迭代,仿真闭环≠真实系统偏差；模型漂移未触发降级/重新辨识,,,,数字孪生+构网型储能,仿真验证与执行偏差之间的连接缺口,无需,CN122371467A，预仿真-迭代-执行闭环，仿真层非执行层
42,专利,,无,无,无,无,无,纯规划配置优化，无运行期闭环,无,无,无,无,无,,,,,,,,,,,,,,容量配置+多目标优化,无,无需,5目标优化框架，典型容量配置论文
43,博士论文,,无,无,无,无,无,规划期概率性容量价值评估，五环均不涉及,无,无,无,无,无,,,,,,,,,,,,,,规划期容量置信度/可信容量,'可信容量'（规划概率）与运行期'可信能力边界'（执行确认）同词异义——运行期机制恰为空白,无需,OCR严重破碎；术语撞车需在说明书定义区分
44,期刊论文,,无,无,无,无,无,纯操作系统软件安全，与功率域不相交,无,无,无,无,无,,,,,,,,,,,,,,TEE安全测试,无,无需,文件含19个NUL转换残留
45,期刊论文,,无,无,无,无,无,可信是信息/节点安全信任，事件触发与自愈针对通信网络,无,无,无,无,无,C,,,,,,,,,,,,,零信任评估+事件触发控制,信息侧信任评估止于通信安全，未与功率控制资格/能力连接——信息可信→功率可信缺桥,无需,'可信'同词异义
46,期刊论文,,无,无,无,无,无,可信仅为身份认证装饰性命名,无,无,无,无,无,,,,,,,,,,,,,,日前弃风优化,无,无需,
47,政策标准,,无,无,无,无,无,数据治理与流通基础设施,无,无,无,无,无,H,,,,,,,,,,,,,可信数据空间政策体系,数据空间'使用控制/存证溯源'能力清单未下探到设备级控制数据链,无需,
48,新闻报道,,无,无,无,无,无,S4思想同构：异构硬件等效计量映射+按偏好定向迁移；但对象是算力任务非电力设备，无偏差触发、无缺口承接语义；A 链全为无,无,无,无,无,无,,,,,,,,,,,,,,异构资源等效计量映射,等效映射+定向迁移在'电力设备能力余量'域无实现——答审'跨资源转移'类比最可能起点,无需,新闻体无实施细节
49,新闻报道,,无,无,无,无,无,与48同源同构；但对象是算力任务非电力设备；A 链全为无,无,无,无,无,无,,,,,,,,,,,,,,同48,同48,无需,与48二取一以48为主
50,新闻报道,,无,无,无,无,无,纯数据生态新闻,无,无,无,无,无,H,,,,,,,,,,,,,能源数据空间运营,'车桩网供需互动'仅作数据产品场景，控制机制空白,无需,
51,博士论文,,无,无,无,无,无,ACE直接驱动校正未作偏差证据归因；分配因子是例行权重分配非缺口承接；外层限幅是静态约束非偏差修正边界,无,无,无,无,无,A;B,,,,,,,,,,,,,闭环控制+均衡RL分配的泛化形态,'外层硬约束+内层RL'结构的约束是静态限幅——用执行偏差证据在线修正外层边界的机制空白（对S3工程实现直接可借鉴）,mechanism,RTDS工程验证
52,期刊论文,,无,无,无,无,无,'能力边界'为智能体权限声明，非设备功率能力,无,无,无,无,无,F;C,,,,,,,,,,,,,智能体身份-权限-审计治理,权限'能力边界'是交互前静态声明——运行中按执行结果动态修正权限/资格的机制空白（F候选'执行后审计'的政策侧依据）,无需,'能力边界'术语撞名，权利要求须限定设备功率语境
53,综述,,无,无,无,无,无,通用方法论综述，无功率/能力边界要素,无,无,无,无,无,F,,,,,,,,,,,,,CTDE/安全MARL,安全MARL的约束是外生给定，非由执行偏差修正,无需,转换文件含异常字节
54,综述,,无,无,无,无,无,'输出策略与期望策略间偏差'仅列为风险来源，对象是Agent策略非功率执行偏差；A 链全为无,无,无,无,无,无,F,,,,,,,,,,,,,风险来源三分类,风险来源三分类未被用作运行时边界修正的归因框架（可作S2背景措辞）,无需,
55,综述,,无,无,无,无,无,反馈修正对象是模型推理链非现场执行,无,无,无,无,无,F,,,,,,,,,,,,,LRM调度决策辅助,推理自纠错与现场设备执行验证之间无连接,无需,
56,综述,,无,无,无,无,无,方向性图谱无机制环节,无,无,无,无,无,F,,,,,,,,,,,,,云边协同群智决策、联邦RL,'潮流约束可行域加速收敛'是优化工具非设备能力边界,无需,
57,综述,,无,无,无,无,无,泛闭环（感知-决策-行动）无能力边界语义与偏差归因链,无,无,无,无,无,D;F,,,,,,,,,,,,,LLM+数字孪生预验证+多智能体分层架构,'孪生先行验证指令'与'执行结果反馈'两模块间缺设备能力边界修正——验证通过≠设备当前可执行（D候选连接缺口直接证据）,mechanism,
58,综述,,无,无,无,无,无,闭环对象是生成内容质量非实际执行偏差,无,无,无,无,无,F,,,,,,,,,,,,,生成-验证-修正闭环（内容域）、多智能体体系,'生成-验证-修正'止于仿真/内容验证——现场执行授权与执行后审计未连接（F候选划界句）,无需,背景技术撰写需与其划界
59,综述,,无,无,无,无,无,异常检测属状态感知非计划-执行偏差证据,无,无,无,无,无,F;C,,,,,,,,,,,,,大小模型协同+配网认知大模型,'实时数据关联调度操作日志构建决策样本'思路与控制数据证据链（H）同向，但未成可验证链机制,无需,
60,综述,,无,无,无,无,无,策略学习范式不涉及偏差证据/能力边界,无,无,无,无,无,F,,,,,,,,,,,,,MARL需求响应/电压控制应用,无,无需,
61,综述,,无,无,无,无,无,闭环服务于模型进化；'探索模型边界'非设备可信能力边界,无,无,无,无,无,F,,,,,,,,,,,,,泛闭环范式+中枢大模型边缘小模型,'模型边界'探索与'设备能力边界'确认是两个未连接的对象——大模型决策边界的设备侧锚定空白,无需,
62,综述,,无,无,无,无,无,SOC/SOH/剩余容量估计为能力状态刻画，但非方向化能力状态机、无执行偏差修正、无维持/恢复状态机；A 链全为无,无,无,无,无,无,G,,,,,,,,,,,,,SOC/SOH估计+状态因子降额域,能力刻画止于状态估计——恰是RD-2已证'不足以作边界收缩核心判定'的经验函数域；估计→执行偏差修正的边界跃迁空白,无需,
64,综述,,无,无,无,无,无,态势感知/状态估计是系统级感知非计划-执行偏差检测,无,无,无,无,无,B;F,,,,,,,,,,,,,态势感知+DRL调度优化,无,无需,
65,综述,,无,无,无,无,无,SSRB是电网级潮流安全约束离线拟合，无设备能力状态,无,无,无,无,无,B,,,,,,,,,,,,,安全域/可行域边界拟合,安全域拟合在'站级设备级时变可行域+执行反馈修正'方向空白——保守性平移是离线静态手段,无需,
66,综述,,无,无,无,无,无,知识/图像/文本类应用无功率控制,无,无,无,无,无,F,,,,,,,,,,,,,RAG/知识图谱电力应用,无,无需,
67,综述,,无,无,无,无,无,辅助决策无计划-执行偏差确认环节,无,无,无,无,无,F,,,,,,,,,,,,,态势→调用智能体→生成策略模式,LLM生成策略与RL智能体之间无安全校核/授权层,无需,
68,综述,,无,无,无,无,无,预测/诊断/知识服务不触及任何环,无,无,无,无,无,F,,,,,,,,,,,,,RAG/智能体/大小模型融合,无,无需,
69,其他,,无,无,无,无,无,IT安全域与功率控制无交集,无,无,无,无,无,,,,,,,,,,,,,,LLM多智能体安全测试,无,无需,出处未识别
70,专利,CN121639034A,无,无,无,无,无,无覆盖，A-B-C-D-F链均不涉及,无,无,无,无,无,C,,,,,,,,,,,,,,无,无需,AI能力四维指标评价系统
71,专利,,无,无,无,无,无,验证方法非运行期执行偏差修正；A 链全为无,无,无,无,无,无,D,,,,,,,partial-gap,知识图谱+大模型用例生成+虚实融合验证,验证工具≠运行期孪生偏差监测+降级,,,,知识图谱+大模型+用例验证,无,无需,浪潮企业云产品
72,专利,CN122473516A,无,无,无,无,无,无覆盖，A-B-C-D-F链均不涉及,无,无,无,无,无,C,,,,,,,,,,,,,,无,无需,工业作业安全多模态预警
73,专利,CN122242877A,无,无,无,无,无,无覆盖，A-B-C-D-F链均不涉及,无,无,无,无,无,B,,,,,,,,,,,,,,无,无需,场站运营分析报告自动生成
74,专利,CN121052238A,无,无,无,无,无,无覆盖，A-B-C-D-F链均不涉及,无,无,无,无,无,C,,,,,,,,,,,,,,无,无需,大小模型内容审核
75,专利,,无,无,无,无,无,故障检测≠执行偏差证据，语义解析≠执行偏差成因分类，负荷转移≠跨设备能力转移，效果评估≠边界回写；A 链全为无,无,无,无,无,无,F,,,,,,,,,,partial-gap,大模型+多智能体（风险分析/机组调整/负荷转移/协调/安全校验/控制执行）,多智能体协同未形成Agent意图→确定性工具调用→物理约束校验→授权→真实执行→审计/回滚的F链,大模型+多智能体故障处置,无,无需,多智能体架构在故障处置中的应用
76,专利,CN121328527A,无,无,无,无,无,无覆盖，A-B-C-D-F链均不涉及,无,无,无,无,无,C,,,,,,,,,,,,,,无,无需,电力数据质量校验
77,专利,CN121787715A,无,无,无,无,无,无覆盖，A-B-C-D-F链均不涉及,无,无,无,无,无,C,,,,,,,,,,,,,,无,无需,资产折旧与寿命预测
78,专利,,无,无,无,无,无,大模型+能源预测管控，无执行偏差驱动的能力修正,无,无,无,无,无,F,,,,,,,,,,partial-gap,大模型驱动能源预测+多目标管控,无Agent意图→确定性工具→物理校验→授权→执行审计的F链,大模型+能源预测+多目标管控,无,无需,大模型用于能源管控的代表性方案
79,专利,CN121458265A,无,无,无,无,无,无覆盖，A-B-C-D-F链均不涉及,无,无,无,无,无,C,,,,,,,,,,,,,,无,无需,LoRA+RAG运维报告生成
80,专利,CN122045327A,无,无,无,无,无,无覆盖，A-B-C-D-F链均不涉及,无,无,无,无,无,C,,,,,,,,,,,,,,无,无需,配网缺陷知识库构建
81,专利,CN122133766A,无,无,无,无,无,无覆盖，A-B-C-D-F链均不涉及,无,无,无,无,无,C,,,,,,,,,,,,,,无,无需,电力网络安全垂直大模型
82,专利,CN121258221A,无,无,无,无,无,无覆盖，A-B-C-D-F链均不涉及,无,无,无,无,无,C,,,,,,,,,,,,,,无,无需,站房安全风险评估
83,专利,CN121352645A,无,无,无,无,无,无覆盖，A-B-C-D-F链均不涉及,无,无,无,无,无,C,,,,,,,,,,,,,,无,无需,火电厂多智能体协同作业
84,专利,CN121705378A,无,无,无,无,无,无覆盖，A-B-C-D-F链均不涉及,无,无,无,无,无,C,,,,,,,,,,,,,,无,无需,RAG设备知识库
85,专利,CN121708284A,无,无,无,无,无,无覆盖，A-B-C-D-F链均不涉及,无,无,无,无,无,C,,,,,,,,,,,,,,无,无需,无人机图像隐患识别
86,专利,,无,无,无,无,无,算法迭代为通用闭环，非执行偏差驱动的能力修正；A 链全为无,无,无,无,无,无,F,,,,,,,,,,not-applicable,IoT+边缘计算+预测模型+自动化执行+闭环迭代,无Agent意图→工具调用→物理校验→授权→执行审计的F链,IoT+边缘计算+预测+闭环,无,无需,框架完整但与核心机制无关
87,专利,CN121723104A,无,无,无,无,无,SHAP健康归因+实际可用容量+功率限制/分组调度；但健康归因!=执行偏差归因，可用容量由SOC/SOH经验函数驱动!=方向化能力状态机；A链全为无，仅标为S3-neighbor（健康归因邻域）,无,无,无,无,无,B,partial-gap,SHAP健康归因+实际可用容量估计+功率限制/分组调度,可用容量由SOC/SOH经验函数驱动，非执行偏差确认->方向化包络更新,,,,,,,,,,,无,无需,CN121723104A，需全文核实可用容量语义
88,专利,CN121807921A,无,无,无,无,无,无覆盖，A-B-C-D-F链均不涉及,无,无,无,无,无,C,,,,,,,,,,,,,,无,无需,审计报告解读
89,专利,CN121598310A,无,无,无,无,无,无覆盖，A-B-C-D-F链均不涉及,无,无,无,无,无,C,,,,,,,,,,,,,,无,无需,通信网五类智能体运维
90,专利,CN121639091A,无,无,无,无,无,无覆盖，A-B-C-D-F链均不涉及,无,无,无,无,无,C,,,,,,,,,,,,,,无,无需,供应链需求预测
91,专利,CN121765605A,无,无,无,无,无,无覆盖，A-B-C-D-F链均不涉及,无,无,无,无,无,C,,,,,,,,,,,,,,无,无需,用电异动检测
92,专利,CN121582956A,无,无,无,无,无,无覆盖，A-B-C-D-F链均不涉及,无,无,无,无,无,C,,,,,,,,,,,,,,无,无需,工作票智能校核
93,专利,CN120765383A,无,无,无,无,无,无覆盖，A-B-C-D-F链均不涉及,无,无,无,无,无,C,,,,,,,,,,,,,,无,无需,交易数据交互
94,专利,CN120725657A,无,无,无,无,无,数字孪生驱动的动态健康基准/阈值随工况调整；但孪生模型!=方向化可用能力状态，触发源是仿真非执行偏差；A链全为无,无,无,无,无,无,D,,,,,,,partial-gap,数字孪生建模+动态健康基准随工况调整,孪生仿真!=真实系统偏差监测，未形成twin-confidence降级门,,,,,无,无需,CN120725657A，触发源(仿真)与本项目(执行偏差)不同
95,专利,CN121745062A,无,无,无,无,无,无覆盖，A-B-C-D-F链均不涉及,无,无,无,无,无,C,,,,,,,,,,,,,,无,无需,交易分析报告生成
96,专利,CN122334622A,无,无,无,无,无,无覆盖，A-B-C-D-F链均不涉及,无,无,无,无,无,C,,,,,,,,,,,,,,无,无需,故障诊断推荐+RLHF迭代
97,专利,CN122334622A,无,无,无,无,无,无覆盖，A-B-C-D-F链均不涉及,无,无,无,无,无,C,,,,,,,,,,,,,,无,无需,同96号专利的另一PDF文件
98,专利,CN121525932A,无,无,无,无,无,无覆盖，A-B-C-D-F链均不涉及,无,无,无,无,无,C,,,,,,,,,,,,,,无,无需,LLM知识图谱+时空图卷积预测
99,专利,CN122346481A,无,无,无,无,无,无覆盖，A-B-C-D-F链均不涉及,无,无,无,无,无,C,,,,,,,,,,,,,,无,无需,智能体编排+NL2SQL
100,专利,CN121981706A,无,无,无,无,无,无覆盖，A-B-C-D-F链均不涉及,无,无,无,无,无,C,,,,,,,,,,,,,,无,无需,火电厂运维决策
101,专利,CN122022771A,无,无,无,无,无,无覆盖，A-B-C-D-F链均不涉及,无,无,无,无,无,C,,,,,,,,,,,,,,无,无需,变电站巡视诊断
102,硕士学位论文扉页,华北电力大学,无,无,无,无,无,无覆盖，A-B-C-D-F链均不涉及,无,无,无,无,无,C,,,,,,,,,,,,,,无,无需,硕士论文扉页(信息不足)
103,专利,CN121051219A,无,无,无,无,无,无覆盖，A-B-C-D-F链均不涉及,无,无,无,无,无,C,,,,,,,,,,,,,,无,无需,电力工程多模态RAG
104,专利,CN122047017A,无,无,无,无,无,无覆盖，A-B-C-D-F链均不涉及,无,无,无,无,无,C,,,,,,,,,,,,,,无,无需,LLM调度中枢+启发式模型库配网重构
105,专利,CN122088451A,无,无,无,无,无,无覆盖，A-B-C-D-F链均不涉及,无,无,无,无,无,C,,,,,,,,,,,,,,无,无需,通信网运维提示词生成
106,专利,CN121213059A,无,无,无,无,无,无覆盖，A-B-C-D-F链均不涉及,无,无,无,无,无,C,,,,,,,,,,,,,,无,无需,云上运维平台
107,博士论文,,无,无,无,无,无,博士论文，跨网主体调度，不涉及设备级执行偏差修正,无,无,无,无,无,,,,,,,,,,,,,,跨网调度+数据预测,无,无需,北京邮电大学博士论文，121页，研究跨度大但不在光储充设备层
