lit_id,子库,文件名,类型,公开号_出处,机构,年份,作者_申请人,处理链路,证据层级,sha256_12,相关度,威胁评估,五步链覆盖要点,一句话要点,待核实,备注
46,可信,基于可信计算和主动决策的新能源电力系统日前调度方法.pdf,期刊论文,河南科学41(2),国网新疆/中科院沈阳计算所,2023,刘冉等,converted_fulltext,全文级,bfa0478c4d7b,C,无覆盖,无覆盖,用户可信度访问控制+弃风减排日前调度,无,
47,可信,可信数据空间发展行动计划（2024—2028年）.pdf,政策文件,国家数据局等(推断),国家层面,2024,-,converted_fulltext,全文级,bec6050e6e60,C,无覆盖,无覆盖,可信数据空间五年行动纲领,无,
48,可信,电算筑基·可信互联：构筑电碳算协同与能源数据要素流通新范式”交流活动嘉宾发言摘编.pdf,会议纪要,中国能源报2025-09-01(3版),中国能源报,2025,多方发言,converted_fulltext,全文级,c1a2ea4a3564,A,片段级,S4思想同构:异构算力等效映射+任务跨区定向迁移(非电力设备、无偏差触发),南网电碳算协同：异构算力-电力-碳统一换算+按偏好定向迁移,无,答审遇跨资源转移类比的最早对比文件起点；新闻体无实施细节
49,可信,电碳算协同赋能数字经济可信互联激活数据要素价值.pdf,新闻报道,中国能源报2025-09-01(1版),中国能源报,2025,董梓童,converted_fulltext,全文级,a7efaac0bcdc,A,片段级,同48号(同事件),同事件头版报道，4项核心技术清单,无,与48号二取一细读，以48号为主
50,可信,南网构建能源可信数据新生态.pdf,新闻报道,中国能源报2025-09-01(2版),中国能源报,2025,董梓童,converted_fulltext,全文级,fc82c9edba8d,B,无覆盖,无覆盖,南网能源可信数据空间试点进展(车桩网供需互动场景),无,
51,大模型,智能发电控制的多目标优化策略及其均衡强化学习理论.pdf,博士学位论文,华南理工大学,华南理工大学,2015,王怀智,converted_fulltext,全文级,f5624a9aac5a,B,无覆盖,无覆盖(分配因子/MORL为S4最近泛化形态但机制本体不同),AGC升级SGC：Nash-Q(λ)/CEQ(λ)/MORL(λ)多目标功率分配+RTDS验证,无,外层硬约束+内层RL双层结构可作S3边界内执行的工程参照
52,大模型,统筹发展与安全：智能体治理的范式转换、路径探索与制度回应.pdf,期刊专题组文,电子政务2026(7),中国信通院等,2026,李强治等,converted_fulltext,全文级,5c85960d9b8a,C,无覆盖,无覆盖,智能体治理政策解读：身份/权限/协议治理,无,其'能力边界'为权限语义，权利要求需限定功率语境
53,大模型,多智能体强化学习：从基础理论到前沿算法.pdf,期刊综述,电子学报53(12),河海大学/东北大学,2025,韩光洁等,converted_fulltext,全文级,957aad9f259a,C,无覆盖,无覆盖,MARL理论到LLM-MARL/安全MARL前沿综述,无,文件含异常字节，grep需-a
54,大模型,多智能体风险决策理论与方法研究综述.pdf,期刊综述,计算机学报48(10),国防科大/清华,2025,联合团队,converted_fulltext,全文级,d1cef5ec5f0c,A,片段级,仅把'策略-期望偏差'列为风险来源之一，无任何环节机制,多智能体风险决策三层面综述，含电网电压控制安全层案例,无,风险来源三分类(环境/自身/他方)可作S2成因分类背景措辞
55,大模型,推理大模型赋能新型电力系统智能决策：原理、应用与展望.pdf,期刊综述,电力系统自动化(网络首发),华南理工/南网,2026,联合团队,converted_fulltext,全文级,e6b79355d6aa,B,无覆盖,无覆盖,LRM原理与调度/安全/市场应用综述,无,
56,大模型,电力人工智能技术研究框架、应用现状及展望.pdf,期刊综述,电网技术49(5),中国电科院,2025,蒲天骄等,converted_fulltext,全文级,af9459a9678c,B,无覆盖,无覆盖,EPAI五向技术图谱+成熟度评估,无,
57,大模型,电力设备数智化发展历程与大语言模型智能体应用展望.pdf,期刊综述,高电压技术51(8),清华/南网数研院,2025,联合团队,converted_fulltext,全文级,8a55f7e5a246,C,无覆盖,无覆盖,设备运维LLM智能体五层框架设想,无,
58,大模型,电力系统大模型的关键科学问题、挑战与展望.pdf,期刊综述,中国电机工程学报46(7),清华/浙大,2026,康重庆等,converted_fulltext,全文级,6822b6ae586f,B,无覆盖,无覆盖,电力大模型双路线架构;'生成-验证-修正'对象是模型输出非执行偏差,无,写背景技术时需划清界限
59,大模型,新型配电系统运行专用大模型关键技术展望.pdf,期刊综述,中国电机工程学报46(11),四川大学等,2026,刘友波等,converted_fulltext,全文级,5a13c1f58caf,B,无覆盖,无覆盖,配网专用大模型三层能力体系(感知/决策/应用),无,
60,大模型,多智能体强化学习理论及其应用综述.pdf,期刊综述,模式识别与人工智能37(10),西安交通大学等,2024,兰旭光等,converted_fulltext,全文级,e3001412cf51,C,无覆盖,无覆盖,MARL五大理论困境与解法综述,无,
61,大模型,电力系统自主智能决策范式设想：从知识数据融合、人在回路到具身自主智能.pdf,期刊综述,中国电机工程学报(网络首发),北京交通大学等,2026,窦嘉铭等,converted_fulltext,全文级,7ee6ecbf837a,B,无覆盖,无覆盖,EAIF具身自主智能框架;'探索模型边界'非设备能力边界,无,
62,大模型,人工智能在储能技术中的应用进展.pdf,期刊综述,工程热物理学报46(12),中科院工程热物理所,2025,尹钊等,converted_fulltext,全文级,fe27a734fa8a,A,片段级,S3域:SOC/SOH/剩余容量估计属能力状态刻画，无偏差修正/方向化,AI+储能全生命周期综述，运行控制章含SOC/SOH估计与老化反馈快充,无,可扩充背景技术引用面；'(1).pdf'为其字节级重复件
63,大模型,人工智能在储能技术中的应用进展 (1).pdf,期刊综述,同62,同62,2025,同62,duplicate_sha256,全文级(重复件),fe27a734fa8a,A,片段级,同62,62号文件完全重复,无,SHA256完全相同，与62号合并
64,大模型,面向新型电力系统的人工智能趋势与挑战.pdf,期刊评述,中国科学:技术科学56(1),华北电力大学/南网科研院,2026,毕天姝等,converted_fulltext,全文级,d0fe44d8c514,B,无覆盖,无覆盖,新型电力系统AI全景评述,无,
65,大模型,电力系统智能计算的关键技术及应用展望.pdf,期刊综述,发电技术46(3),武汉大学/中国电科院等,2025,张俊等,converted_fulltext,全文级,a12ba8c0023e,B,无覆盖,无覆盖,智能计算范式；静态安全域边界拟合(保守性平移)与站级可行域有远亲方法论,无,
66,大模型,大模型技术在电力行业的应用展望.pdf,期刊综述,图学学报45(6),保定电院/国网冀北,2024,刘冀辰等,converted_fulltext,全文级,fdd4492ac217,C,无覆盖,无覆盖,大模型在调度/巡检/客服三场景应用,无,
67,大模型,人工智能大模型在电力系统运行控制中的应用综述及展望.pdf,期刊综述,武汉大学学报(工学版)56(11),武汉大学,2023,张俊等,converted_fulltext,全文级,de272e71aa34,B,无覆盖,无覆盖,GPT-4解析+五维运行调控展望,无,
68,大模型,大模型在电力行业的应用与挑战.pdf,期刊综述,发电技术46(4),浙江大学/华电电科院,2025,严新荣等,converted_fulltext,全文级,73b2cfb45968,C,无覆盖,无覆盖,LLM落地四类实现技术+应用综述,无,
69,大模型,基于AI多智能体的电力自动化安全测试平台研究与应用.pdf,企业应用论文,出处未识别,国网上海信通,2025后,卢栾昊等,converted_fulltext,全文级,8a25ec680f10,C,无覆盖,无覆盖,LLM多智能体自动化渗透测试平台,无,
70,大模型,一种人工智能能力综合评价系统及方法.pdf,发明专利申请,CN121639034A,华北电力大学,2025,同申请人,ocr_frontpage,扉页级,309499d546ac,C,无覆盖,无覆盖,AI能力四维指标评价系统,无,
71,大模型,一种光储系统用例生成与验证方法及装置.pdf,发明专利申请,CN121168599A,浪潮企业云科技,2025,同申请人,ocr_frontpage,扉页级,b7cb859a80aa,C,无覆盖,无覆盖,光储软件用例生成与虚实融合验证,无,
72,大模型,一种基于多模态数据的异常事件检测与预警方法及设备.pdf,发明专利申请,CN122473516A,华能国际/西安热工院,2026,同申请人,ocr_frontpage,扉页级,d6b89778e7d7,C,无覆盖,无覆盖,工业作业安全多模态预警,无,
73,大模型,一种基于多角色协同决策的光储充场站自动化运营分析报告生成方法及系统.pdf,发明专利申请,CN122242877A,苏文电能科技,2026,同申请人,ocr_frontpage,扉页级,3394fb934268,B,无覆盖,无覆盖,场站运营分析报告自动生成,无,
74,大模型,一种基于大小模型混合的内容安全审核方法及系统.pdf,发明专利申请,CN121052238A,中国电科院/国网福建信通,2025,同申请人,ocr_frontpage,扉页级,ad88ea80940e,C,无覆盖,无覆盖,大小模型内容审核,无,
75,大模型,一种基于大模型和多智能体的电网故障处置方法及系统.pdf,发明专利申请,CN120746348A,内蒙古电力锡盟供电,2025,同申请人,ocr_frontpage,扉页级,76f1482ad32f,C,无覆盖,无覆盖,故障处置策略生成+多智能体执行,无,
76,大模型,一种基于大模型的电力数据动态校验方法.pdf,发明专利申请,CN121328527A,国网上海,2025,同申请人,ocr_frontpage,扉页级,41e220b91614,C,无覆盖,无覆盖,电力数据质量校验,无,
77,大模型,一种基于大模型的电网资产折旧测算与剩余寿命预测方法.pdf,发明专利申请,CN121787715A,国网上海超高压,2025,同申请人,ocr_frontpage,扉页级,85c1e2d7c3d0,C,无覆盖,无覆盖,资产折旧与寿命预测,无,
78,大模型,一种基于大模型的综合能源系统预测管控方法及平台.pdf,发明专利申请,CN122199198A,中国能建西南院,2026,同申请人,ocr_frontpage,扉页级,a7b69fcb6b88,B,无覆盖,无覆盖,CNN-LSTM-注意力预测+优化调度下发,无,如需防规避可加调全文
79,大模型,一种基于大语言模型的电力运维检修报告生成系统及方法.pdf,发明专利申请,CN121458265A,国网电科院武汉南瑞,2025,同申请人,ocr_frontpage,扉页级,fdd4fcf714a1,C,无覆盖,无覆盖,LoRA+RAG运维报告生成,无,
80,大模型,一种基于大语言模型的配电网缺陷知识库构建方法及装置.pdf,发明专利申请,CN122045327A,国网安徽电科院,2026,同申请人,ocr_frontpage,扉页级,0966e1e31720,C,无覆盖,无覆盖,配网缺陷知识库构建,无,
81,大模型,一种基于电力网络垂直大模型的安全检测系统及方法.pdf,发明专利申请,CN122133766A,华能国际/西安热工院,2026,同申请人,ocr_frontpage,扉页级,cc7a5c99ecbc,C,无覆盖,无覆盖,电力网络安全垂直大模型,无,
82,大模型,一种基于边缘AI大模型的站房安全风险在线评估系统.pdf,发明专利申请,CN121258221A,国网湖北武汉供电,2025,同申请人,ocr_frontpage,扉页级,4f1bb759da52,C,无覆盖,无覆盖,站房安全风险评估,无,
83,大模型,一种火电厂多智能体协同作业平台构建方法及系统.pdf,发明专利申请,CN121352645A,华能石洞口电厂等,2025,同申请人,ocr_frontpage,扉页级,01d55a1cf228,C,无覆盖,无覆盖,火电厂多智能体协同作业,无,
84,大模型,一种用于电力设备的知识数据库构建方法及系统.pdf,发明专利申请,CN121705378A,国网河南荥阳供电,2025,同申请人,ocr_frontpage,扉页级,71b005fbec9b,C,无覆盖,无覆盖,RAG设备知识库,无,
85,大模型,一种电力目标隐患细粒度识别方法、系统及介质.pdf,发明专利申请,CN121708284A,国网湖北等,2026,同申请人,ocr_frontpage,扉页级,374f95833864,C,无覆盖,无覆盖,无人机图像隐患识别,无,
86,大模型,一种结合大数据与智能算法的电力系统管理方法.pdf,发明专利申请,CN121599332A,国网河南许昌供电,2025,同申请人,ocr_frontpage,扉页级,f80acb393c20,C,无覆盖,无覆盖,泛化电力管理流程(预测-决策-执行闭环措辞),无,
87,大模型,一种计及大型储能电池系统不一致性的健康评估与延寿控制方法.pdf,发明专利申请,CN121723104A,电子科技大学,2025,同申请人,ocr_frontpage,扉页级,1a5299216cb9,B,片段级,S2/S3邻域:SHAP健康归因+实际可用容量+功率限制/分组调度(由SOC/SOH经验函数驱动),储能不一致性健康评估与延寿控制,是(次优先),判定核心与RD-2硬门所限口径同域，需全文核实其可用容量语义
88,大模型,利用大模型的电网审计报告智能解读方法及系统.pdf,发明专利申请,CN121807921A,国网湖北培训中心,2026,同申请人,ocr_frontpage,扉页级,90d1105cfb8c,C,无覆盖,无覆盖,审计报告解读,无,
89,大模型,基于多智能体协作的电力骨干通信网智能化运维方法.pdf,发明专利申请,CN121598310A,国网河南信通,2025,同申请人,ocr_frontpage,扉页级,d8b65aa24288,C,无覆盖,无覆盖,通信网五类智能体运维,无,
90,大模型,基于多模态大模型的供应链需求预测系统.pdf,发明专利申请,CN121639091A,国网山东淄博,2025,同申请人,ocr_frontpage,扉页级,2210f445e27b,C,无覆盖,无覆盖,供应链需求预测,无,
91,大模型,基于多模态大模型的行业用电异动智能分析方法及系统.pdf,发明专利申请,CN121765605A,国网江苏等,2026,同申请人,ocr_frontpage,扉页级,62b81cd257f3,C,无覆盖,无覆盖,用电异动检测,无,
92,大模型,基于多模态大模型知识图谱与大模型推理的工作票智能校核方法.pdf,发明专利申请,CN121582956A,安徽电气职院等,2025,同申请人,ocr_frontpage,扉页级,615487c1cd47,C,无覆盖,无覆盖,工作票智能校核,无,
93,大模型,基于大模型与智能体协同的电力交易数据交互方法及系统.pdf,发明专利申请,CN120765383A,广东电力交易中心,2025,同申请人,ocr_frontpage,扉页级,57558cb45f44,C,无覆盖,无覆盖,交易数据交互,无,
94,大模型,基于大模型的新能源发电设备健康管理平台.pdf,发明专利申请,CN120725657A,中国能建西南院等,2025,同申请人,ocr_frontpage,扉页级,eb1ee992845d,B,片段级,S3概念邻域:孪生仿真驱动的动态健康基准/阈值随工况调整(非偏差确认),数字孪生动态健康基准平台,是(次优先),触发源(仿真)与本项目(执行偏差)不同
95,大模型,基于大模型的电力交易数据分析报告自动生成方法及系统.pdf,发明专利申请,CN121745062A,广东电力交易中心,2026,同申请人,ocr_frontpage,扉页级,41d099e27690,C,无覆盖,无覆盖,交易分析报告生成,无,
96,大模型,基于大模型驱动的电网智能体自适应优化.pdf,发明专利申请,CN122334622A,宁波送变电/国网宁波,2026,同申请人,ocr_frontpage,扉页级,c385a66fc72f,C,无覆盖,无覆盖,故障诊断推荐+RLHF迭代,无,与97号同专利重复归档
97,大模型,基于大模型驱动的电网智能体自适应优化系统及方法.pdf,发明专利申请,CN122334622A,宁波送变电/国网宁波,2026,同申请人,ocr_frontpage,扉页级,d49107e0aedd,C,无覆盖,无覆盖,同96号专利的另一PDF文件,无,SHA256不同但同公开号，疑同一专利重复下载
98,大模型,基于大语言模型辅助知识图谱构建的电力数据预测方法.pdf,发明专利申请,CN121525932A,国网福建,2025,同申请人,ocr_frontpage,扉页级,8bc055b2e5a7,C,无覆盖,无覆盖,LLM知识图谱+时空图卷积预测,无,
99,大模型,基于提示词增强与动态编排的智能体系统构建方法及装置.pdf,发明专利申请,CN122346481A,中国电科院等,2026,同申请人,ocr_frontpage,扉页级,9e5983c6f24c,C,无覆盖,无覆盖,智能体编排+NL2SQL,无,
100,大模型,基于数据大模型的火电厂运维决策方法及系统.pdf,发明专利申请,CN121981706A,华能石洞口等,2026,同申请人,ocr_frontpage,扉页级,cba88b9f7888,C,无覆盖,无覆盖,火电厂运维决策,无,
101,大模型,基于电力大模型的变电站智能巡视数据分析方法.pdf,发明专利申请,CN122022771A,国网河南信通等,2026,同申请人,ocr_frontpage,扉页级,0326a22712ff,C,无覆盖,无覆盖,变电站巡视诊断,无,
102,大模型,基于知识图谱与大模型的电力设备故障分析.pdf,硕士学位论文扉页,华北电力大学,华北电力大学,2025,李佳恒,ocr_frontpage,扉页级,ed8ffac30f19,C,未评估,扉页无技术内容,硕士论文扉页(信息不足),无,仅OCR第1页38字符；如需排除另调目录/摘要页
103,大模型,基于知识图谱和多Agent协同的电力工程多模态RAG系统.pdf,发明专利申请,CN121051219A,中国能建西南院,2025,同申请人,ocr_frontpage,扉页级,536ef5714248,C,无覆盖,无覆盖,电力工程多模态RAG,无,
