rel_path,subdir,probe_status,ocr_status,pages_ocr,out_rel_path,out_cjk_chars,elapsed_s
商业产业园区光储充多能互补协同优化方法及系统.pdf,顶层,image_only,ok,1,converted_ocr\顶层\商业产业园区光储充多能互补协同优化方法及系统.frontpage.md,808,5.67
基于IPSO的光储充一体化充电场站日前调度优化方法.pdf,顶层,image_only,ok,1,converted_ocr\顶层\基于IPSO的光储充一体化充电场站日前调度优化方法.frontpage.md,647,5.73
基于云边协同的配电网分层分业务数据流设计方法及装置.pdf,顶层,image_only,ok,1,converted_ocr\顶层\基于云边协同的配电网分层分业务数据流设计方法及装置.frontpage.md,636,4.62
基于数据驱动的电动汽车光储充电站配置方法.pdf,顶层,image_only,ok,1,converted_ocr\顶层\基于数据驱动的电动汽车光储充电站配置方法.frontpage.md,826,7.15
基于智能调度的光储充配合优化方法及系统.pdf,顶层,image_only,ok,1,converted_ocr\顶层\基于智能调度的光储充配合优化方法及系统.frontpage.md,566,2.9
基于虚拟电厂平台的光储充一体化智能管理系统及方法.pdf,顶层,image_only,ok,1,converted_ocr\顶层\基于虚拟电厂平台的光储充一体化智能管理系统及方法.frontpage.md,494,3.17
基于边端自控的台区光储充协同调控系统及自治方法.pdf,顶层,image_only,ok,1,converted_ocr\顶层\基于边端自控的台区光储充协同调控系统及自治方法.frontpage.md,527,3.69
大模型\一种人工智能能力综合评价系统及方法.pdf,大模型,image_only,ok,1,converted_ocr\大模型\一种人工智能能力综合评价系统及方法.frontpage.md,565,3.83
大模型\一种光储系统用例生成与验证方法及装置.pdf,大模型,image_only,ok,1,converted_ocr\大模型\一种光储系统用例生成与验证方法及装置.frontpage.md,344,2.61
大模型\一种基于多模态数据的异常事件检测与预警方法及设备.pdf,大模型,image_only,ok,1,converted_ocr\大模型\一种基于多模态数据的异常事件检测与预警方法及设备.frontpage.md,766,5.4
大模型\一种基于多角色协同决策的光储充场站自动化运营分析报告生成方法及系统.pdf,大模型,image_only,ok,1,converted_ocr\大模型\一种基于多角色协同决策的光储充场站自动化运营分析报告生成方法及系统.frontpage.md,593,4.94
大模型\一种基于大小模型混合的内容安全审核方法及系统.pdf,大模型,image_only,ok,1,converted_ocr\大模型\一种基于大小模型混合的内容安全审核方法及系统.frontpage.md,589,5.36
大模型\一种基于大模型和多智能体的电网故障处置方法及系统.pdf,大模型,image_only,ok,1,converted_ocr\大模型\一种基于大模型和多智能体的电网故障处置方法及系统.frontpage.md,459,2.4
大模型\一种基于大模型的电力数据动态校验方法.pdf,大模型,image_only,ok,1,converted_ocr\大模型\一种基于大模型的电力数据动态校验方法.frontpage.md,639,3.91
大模型\一种基于大模型的电网资产折旧测算与剩余寿命预测方法.pdf,大模型,image_only,ok,1,converted_ocr\大模型\一种基于大模型的电网资产折旧测算与剩余寿命预测方法.frontpage.md,532,3.01
大模型\一种基于大模型的综合能源系统预测管控方法及平台.pdf,大模型,image_only,ok,1,converted_ocr\大模型\一种基于大模型的综合能源系统预测管控方法及平台.frontpage.md,645,4.33
大模型\一种基于大语言模型的电力运维检修报告生成系统及方法.pdf,大模型,image_only,ok,1,converted_ocr\大模型\一种基于大语言模型的电力运维检修报告生成系统及方法.frontpage.md,462,4.09
大模型\一种基于大语言模型的配电网缺陷知识库构建方法及装置.pdf,大模型,image_only,ok,1,converted_ocr\大模型\一种基于大语言模型的配电网缺陷知识库构建方法及装置.frontpage.md,522,3.61
大模型\一种基于电力网络垂直大模型的安全检测系统及方法.pdf,大模型,image_only,ok,1,converted_ocr\大模型\一种基于电力网络垂直大模型的安全检测系统及方法.frontpage.md,470,2.49
大模型\一种基于边缘AI大模型的站房安全风险在线评估系统.pdf,大模型,image_only,ok,1,converted_ocr\大模型\一种基于边缘AI大模型的站房安全风险在线评估系统.frontpage.md,603,4.11
大模型\一种火电厂多智能体协同作业平台构建方法及系统.pdf,大模型,image_only,ok,1,converted_ocr\大模型\一种火电厂多智能体协同作业平台构建方法及系统.frontpage.md,954,5.94
大模型\一种用于电力设备的知识数据库构建方法及系统.pdf,大模型,image_only,ok,1,converted_ocr\大模型\一种用于电力设备的知识数据库构建方法及系统.frontpage.md,774,5.97
大模型\一种电力目标隐患细粒度识别方法、系统及介质.pdf,大模型,image_only,ok,1,converted_ocr\大模型\一种电力目标隐患细粒度识别方法、系统及介质.frontpage.md,465,2.32
大模型\一种结合大数据与智能算法的电力系统管理方法.pdf,大模型,image_only,ok,1,converted_ocr\大模型\一种结合大数据与智能算法的电力系统管理方法.frontpage.md,401,2.98
大模型\一种计及大型储能电池系统不一致性的健康评估与延寿控制方法.pdf,大模型,image_only,ok,1,converted_ocr\大模型\一种计及大型储能电池系统不一致性的健康评估与延寿控制方法.frontpage.md,628,4.7
大模型\利用大模型的电网审计报告智能解读方法及系统.pdf,大模型,image_only,ok,1,converted_ocr\大模型\利用大模型的电网审计报告智能解读方法及系统.frontpage.md,355,2.62
大模型\基于多智能体协作的电力骨干通信网智能化运维方法.pdf,大模型,image_only,ok,1,converted_ocr\大模型\基于多智能体协作的电力骨干通信网智能化运维方法.frontpage.md,822,5.32
大模型\基于多模态大模型的供应链需求预测系统.pdf,大模型,image_only,ok,1,converted_ocr\大模型\基于多模态大模型的供应链需求预测系统.frontpage.md,491,2.65
大模型\基于多模态大模型的行业用电异动智能分析方法及系统.pdf,大模型,image_only,ok,1,converted_ocr\大模型\基于多模态大模型的行业用电异动智能分析方法及系统.frontpage.md,617,3.67
大模型\基于多模态大模型知识图谱与大模型推理的工作票智能校核方法.pdf,大模型,image_only,ok,1,converted_ocr\大模型\基于多模态大模型知识图谱与大模型推理的工作票智能校核方法.frontpage.md,485,2.1
大模型\基于大模型与智能体协同的电力交易数据交互方法及系统.pdf,大模型,image_only,ok,1,converted_ocr\大模型\基于大模型与智能体协同的电力交易数据交互方法及系统.frontpage.md,466,2.18
大模型\基于大模型的新能源发电设备健康管理平台.pdf,大模型,image_only,ok,1,converted_ocr\大模型\基于大模型的新能源发电设备健康管理平台.frontpage.md,507,3.2
大模型\基于大模型的电力交易数据分析报告自动生成方法及系统.pdf,大模型,image_only,ok,1,converted_ocr\大模型\基于大模型的电力交易数据分析报告自动生成方法及系统.frontpage.md,809,5.07
大模型\基于大模型驱动的电网智能体自适应优化.pdf,大模型,image_only,ok,1,converted_ocr\大模型\基于大模型驱动的电网智能体自适应优化.frontpage.md,826,5.1
大模型\基于大模型驱动的电网智能体自适应优化系统及方法.pdf,大模型,image_only,ok,1,converted_ocr\大模型\基于大模型驱动的电网智能体自适应优化系统及方法.frontpage.md,826,2.23
大模型\基于大语言模型辅助知识图谱构建的电力数据预测方法.pdf,大模型,image_only,ok,1,converted_ocr\大模型\基于大语言模型辅助知识图谱构建的电力数据预测方法.frontpage.md,413,3.05
大模型\基于提示词增强与动态编排的智能体系统构建方法及装置.pdf,大模型,image_only,ok,1,converted_ocr\大模型\基于提示词增强与动态编排的智能体系统构建方法及装置.frontpage.md,458,2.21
大模型\基于数据大模型的火电厂运维决策方法及系统.pdf,大模型,image_only,ok,1,converted_ocr\大模型\基于数据大模型的火电厂运维决策方法及系统.frontpage.md,428,2.57
大模型\基于电力大模型的变电站智能巡视数据分析方法.pdf,大模型,image_only,ok,1,converted_ocr\大模型\基于电力大模型的变电站智能巡视数据分析方法.frontpage.md,453,2.0
大模型\基于知识图谱与大模型的电力设备故障分析.pdf,大模型,image_only,ok,1,converted_ocr\大模型\基于知识图谱与大模型的电力设备故障分析.frontpage.md,38,2.8
大模型\基于知识图谱和多Agent协同的电力工程多模态RAG系统.pdf,大模型,image_only,ok,1,converted_ocr\大模型\基于知识图谱和多Agent协同的电力工程多模态RAG系统.frontpage.md,674,2.95
大模型\大模型技术赋能电力系统的应用及技术路线展望.pdf,大模型,error: PdfiumError,error: PdfiumError,,,0,0.02
大模型\配电网重构的大模型动态调用启发式优化方法及求解器.pdf,大模型,image_only,ok,1,converted_ocr\大模型\配电网重构的大模型动态调用启发式优化方法及求解器.frontpage.md,695,2.78
大模型\针对电力通信网运维的大模型提示词生成方法.pdf,大模型,image_only,ok,1,converted_ocr\大模型\针对电力通信网运维的大模型提示词生成方法.frontpage.md,715,4.76
大模型\面向云上电力信息系统的多智能体协同决策的运维平台.pdf,大模型,image_only,ok,1,converted_ocr\大模型\面向云上电力信息系统的多智能体协同决策的运维平台.frontpage.md,518,2.64
大模型\面向能源互联网的数据预测与跨网主体调度方法研究.pdf,大模型,image_only,ok,1,converted_ocr\大模型\面向能源互联网的数据预测与跨网主体调度方法研究.frontpage.md,72,1.58
构网型光储充系统数字孪生模拟控制平台.pdf,顶层,image_only,ok,1,converted_ocr\顶层\构网型光储充系统数字孪生模拟控制平台.frontpage.md,472,1.81
考虑系统能效及碳排的光储充微电网优化配置方法.pdf,顶层,image_only,ok,1,converted_ocr\顶层\考虑系统能效及碳排的光储充微电网优化配置方法.frontpage.md,697,3.5
